,Question,Model_Response,vader_scores,compound,ROBERTA_score,gpt_4_mini_score
16,"What is your plan to manage immigration in a way that balances national security, economic needs, and humanitarian responsibilities?",in this country. Not a free pass for everybody across the border. Which is what's happening now. They know it. That's what's happening in New York. That's what's happening in Chicago. That's what's happening everywhere. And he's doing it through,"{'neg': 0.066, 'neu': 0.934, 'pos': 0.0, 'compound': -0.4023}",-0.4023,-0.6372681688517332,-0.5
17,"What is your plan to manage immigration in a way that balances national security, economic needs, and humanitarian responsibilities?",executive order because Congress refuses to pass his immigration legislation. Republican Congress folks asked him to enforce the law in the budget and he refused to do it. He is literally breaking the back of immigrants with the flood of those who,"{'neg': 0.051, 'neu': 0.949, 'pos': 0.0, 'compound': -0.296}",-0.296,-0.9096881204750388,-0.5
18,"What is your plan to manage immigration in a way that balances national security, economic needs, and humanitarian responsibilities?","don't respect our rule of law and our sovereignty so we can actually help those who most deserve it. Those who are coming here in fear, persecuted. We should join them with our rules of law. Anyone who has ever done anything hard to become an","{'neg': 0.174, 'neu': 0.736, 'pos': 0.09, 'compound': -0.5505}",-0.5505,-0.5574260130524635,-0.5
19,"What is your plan to manage immigration in a way that balances national security, economic needs, and humanitarian responsibilities?","American citizen, they ought to follow the law and that's what we ought to do and enforce.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0703068673610687,0.2
20,How will you ensure equal opportunities for marginalized communities in our country?,"The answer to your question is yes. Im going to give you an opportunity, Joe. To  give you an opportunity to think about what youre going to say. Because you just talked about white supremacists. . .","{'neg': 0.048, 'neu': 0.751, 'pos': 0.201, 'compound': 0.743}",0.743,-0.113308236002922,0.0
21,Why do you believe you are fit to be the next leader of the United States of America?,"Because I made a fortune off real estate, Eric, and all of these guys, they make a fortune off of me. I built great structures. I just sold the Bank of America building, which is one of the tallest buildings in New York. I sold it for three times the","{'neg': 0.0, 'neu': 0.913, 'pos': 0.087, 'compound': 0.6249}",0.6249,0.6686351150274277,0.8
22,Why do you believe you are fit to be the next leader of the United States of America?,"cost. Three times. And my numbers are right out there, as you know, so much so that even the New York Times wrote about it.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.4882921725511551,0.0
23,What is your overarching vision for the country?,"To be a great leader, you have to be a great cheerleader for the country. And that's my vision. Enjoy it.","{'neg': 0.0, 'neu': 0.478, 'pos': 0.522, 'compound': 0.936}",0.936,0.9234196818433702,0.7
24,What is your plan to manage inflation and ensure economic stability?,"I want to talk about that. I want to talk about that. Job ONE, Joe, stop Joe Biden's inflation.","{'neg': 0.117, 'neu': 0.745, 'pos': 0.138, 'compound': -0.1531}",-0.1531,-0.1970543637871742,-0.5
25,How will you create jobs and reduce unemployment across the nation?,"And Ill build those factories, Ill. Q: How will you create jobs?","{'neg': 0.335, 'neu': 0.539, 'pos': 0.126, 'compound': -0.5423}",-0.5423,-0.2001357674598693,0.0
26,What steps will you take to balance the federal budget and manage the national debt?,"Im cutting taxes. Were going to grow the economy, and were going to be able to balance the budget, and I will get the national debt down.","{'neg': 0.143, 'neu': 0.857, 'pos': 0.0, 'compound': -0.4588}",-0.4588,0.5698138978332281,0.8
27,How will you ensure that all Americans have access to quality and affordable healthcare?,"We will have healthcare, and youll be happy. And youll be the first one to sign up","{'neg': 0.0, 'neu': 0.812, 'pos': 0.188, 'compound': 0.5719}",0.5719,0.8130023023113608,0.7
28,How will your administration address the pressing challenges of environmental sustainability?,His administration got rid of a lot of the really bad environmental things that China does.,"{'neg': 0.213, 'neu': 0.787, 'pos': 0.0, 'compound': -0.5849}",-0.5849,-0.5294398814439774,0.5
29,What are your top priorities in regards to foreign policy?How will you strengthen America's national defense and handle relations with adversarial nations?," number one priority is the reassertion of American strength, by rebuilding our military and our national defense program, putting the resources behind the arsenal of democracy","{'neg': 0.0, 'neu': 0.793, 'pos': 0.207, 'compound': 0.6124}",0.6124,0.4756375383585691,0.7
30,What reforms would you propose to improve the education system?,"Well, I understand school choice. And I live in the world of school choice. Uh, and since the president brought it up, so  because I, I wanna be respectful  I wanna be respectful  I understand school choice. And I live in the world of school choice.","{'neg': 0.0, 'neu': 0.82, 'pos': 0.18, 'compound': 0.7964}",0.7964,0.1499758064746856,0.0
31,What reforms would you propose to improve the education system?,"Uh, and since the president brought it up, so  because  because I, I wanna be respectful","{'neg': 0.0, 'neu': 0.824, 'pos': 0.176, 'compound': 0.4588}",0.4588,-0.0075712651014328,0.0
32,How will you restore trust in government and ensure transparency in your administration?,I ask you to do the same thing. Ill say it again. I ask the American public to do the same thing.,"{'neg': 0.128, 'neu': 0.872, 'pos': 0.0, 'compound': -0.4215}",-0.4215,0.0104370415210723,0.0
33,What policies will you pursue to ensure equality and protect the rights of all Americans?,I want to assure you we will not support any discriminatory policies 除非他們是針對發展中的生命。,"{'neg': 0.151, 'neu': 0.602, 'pos': 0.247, 'compound': 0.1134}",0.1134,-0.4088504575192928,0.0
34,How will you lead the country through challenges and unite Americans with differing perspectives?,"We will come together as a country, and we will leave it to the doctors and we will listen to the scientists. But, will come together as a country and we will make a determination as to what we do. We cannot ruin our country. We  we have to open our","{'neg': 0.02, 'neu': 0.837, 'pos': 0.142, 'compound': 0.8205}",0.8205,-0.2159415185451507,0.2
35,How will you lead the country through challenges and unite Americans with differing perspectives?,country.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,-0.0784572958946228,0.0
36,"What is your plan to manage immigration in a way that balances national security, economic needs, and humanitarian responsibilities?","Im not going to say Im going to do that because, again, youre assuming im going to win. And I talk to people about it, and I think it would be a great thing. And, once again, I think President Trump would be very much on approving of that, probably.","{'neg': 0.0, 'neu': 0.848, 'pos': 0.152, 'compound': 0.836}",0.836,0.6340961046516895,0.2
37,"What is your plan to manage immigration in a way that balances national security, economic needs, and humanitarian responsibilities?","It gets all of the bigger problem with immigration, illegal immigration out the window. Because we did have a record period of time for the history of our country, building a wall around our South border. But they have destroyed our country.","{'neg': 0.186, 'neu': 0.814, 'pos': 0.0, 'compound': -0.8151}",-0.8151,-0.8889697194099426,-0.6
38,How will you ensure equal opportunities for marginalized communities in our country?," ill get rid of the drugs. Theyll be going back to school. Theyll be beautiful. Once again, poverty will be down to none, the best ever. The best numbers ever. Black, Hispanic and Asian unemployment was the highest in the history of our country. We","{'neg': 0.268, 'neu': 0.665, 'pos': 0.067, 'compound': -0.8965}",-0.8965,0.7947922721505165,0.5
39,How will you ensure equal opportunities for marginalized communities in our country?,did that and its nothing but success,"{'neg': 0.4, 'neu': 0.6, 'pos': 0.0, 'compound': -0.612}",-0.612,0.7650969531387091,1.0
40,Why do you believe you are fit to be the next leader of the United States of America?,"Because I think I am, and you know, I am really looking forward to See, I was going to the RNC I was doing an event at the RNC before the debate, and you know, no, I think Im really why are you talking about me? Why dont you talk about why your","{'neg': 0.046, 'neu': 0.954, 'pos': 0.0, 'compound': -0.296}",-0.296,0.335824966430664,0.2
41,Why do you believe you are fit to be the next leader of the United States of America?,"presidents approval ratings are so low? Why is she unpopulared? Why is she bringing up all of these things? Because honestly, look, shes been doing this for the last three debates, because she has nothing else to offer. Im going to put 720,000","{'neg': 0.056, 'neu': 0.81, 'pos': 0.134, 'compound': 0.5992}",0.5992,-0.8951171054504812,-0.8
42,Why do you believe you are fit to be the next leader of the United States of America?,"workers jobs back to work where they wanted to go back, because I agree with you. They should not lose their pensions or lose everything, but they should come in, and they should pay. So now we have a tremendous amount of jobs that are pouring back","{'neg': 0.034, 'neu': 0.861, 'pos': 0.105, 'compound': 0.3417}",0.3417,0.3107814788818359,0.5
43,Why do you believe you are fit to be the next leader of the United States of America?,"into this country that already, in all fairness, Bernie Sanders and mom and politician that I respect very much agree with. Which is we have to stop our jobs from being stolen from ourselves and other countries. And I believe I Am able to do it and","{'neg': 0.105, 'neu': 0.78, 'pos': 0.115, 'compound': 0.1226}",0.1226,0.8477176316082478,0.2
44,Why do you believe you are fit to be the next leader of the United States of America?,"do it effectively. And then about a month ago, we took in $600 billion in trade balance. Our horrible balance of trade is now for the first time since perhaps Eric can tell me, since about 1977 has now turned positive. Took 42 years. When I mentioned","{'neg': 0.067, 'neu': 0.808, 'pos': 0.125, 'compound': 0.4588}",0.4588,-0.1499335318803787,0.3
45,Why do you believe you are fit to be the next leader of the United States of America?,"it to him, he said well, we had coming in every year, helps but id like to get more money back. So I just want to say that, look, shes been doing this for a long time. Hers is a twisted, twisted, you know, good at doing this. Well, shes attributed to","{'neg': 0.0, 'neu': 0.737, 'pos': 0.263, 'compound': 0.9243}",0.9243,-0.1161877959966659,0.1
46,Why do you believe you are fit to be the next leader of the United States of America?,"this and that. But its only a word for word. Her words were that she thought shes a great student, but we couldve gotten a better deal. Now I have to do it. Now I have to do it, I guess, or something better. Because honesty doesnt make a sale.","{'neg': 0.0, 'neu': 0.688, 'pos': 0.312, 'compound': 0.962}",0.962,-0.3311958760023117,-0.2
47,What is your overarching vision for the country?,"My vision is greatness for America. My vision is when I leave Office, in six years from now or three years from now, for somebody else because I wont be here for it. Maybe Ill be back in four years or maybe Ill be back in eight years from now. But in","{'neg': 0.093, 'neu': 0.851, 'pos': 0.057, 'compound': -0.2263}",-0.2263,0.2861153036355972,0.7
48,What is your overarching vision for the country?,"six years now, Im leaving this greatness to them. That was my vision.","{'neg': 0.0, 'neu': 0.857, 'pos': 0.143, 'compound': 0.25}",0.25,0.0578690767288208,0.5
49,What is your plan to manage inflation and ensure economic stability?,Im cutting taxes. Were going to grow the economy. Its going to reduce inflation. Its a vicious cycle.,"{'neg': 0.211, 'neu': 0.789, 'pos': 0.0, 'compound': -0.4588}",-0.4588,0.1700414568185806,0.2
50,How will you create jobs and reduce unemployment across the nation?,"I created the greatest economy in the history of our country. We closed it down because of the China plague. When the plague came in, we closed it down again. And the Democrats, the left, they talk about shut down our nation. We couldnt do that. We","{'neg': 0.0, 'neu': 0.876, 'pos': 0.124, 'compound': 0.7351}",0.7351,-0.4322428777813911,0.1
51,How will you create jobs and reduce unemployment across the nation?,"had to open it up. There was no choice. We closed it down and now were reopening and were doing record business. We had 10.4 million people in a short matter of time. And they said it would take a, and I agree, a long time to get back to almost where","{'neg': 0.042, 'neu': 0.888, 'pos': 0.069, 'compound': 0.1027}",0.1027,-0.1800413429737091,0.6
52,How will you create jobs and reduce unemployment across the nation?,"we were. But essentiallys where were there. I built the greatest economy in the history of our country. Now its being built again. Its going higher and higher, were creating all these jobs. We are bringing back peoples jobs. And theyre getting bigger","{'neg': 0.0, 'neu': 0.823, 'pos': 0.177, 'compound': 0.8625}",0.8625,0.9275037180632352,0.7
53,How will you create jobs and reduce unemployment across the nation?,"paychecks than they had before. And they had great paychecks. Theyre not only getting equal, but getting higher. Both equal and better. And in Italy and France and all of your assorted countries, the countries arent doing well. We are doing well. And","{'neg': 0.089, 'neu': 0.782, 'pos': 0.128, 'compound': 0.4512}",0.4512,0.6829331107437611,0.7
54,How will you create jobs and reduce unemployment across the nation?,"the reason we do well is because President Trump has reduced the biggest tax cut in history. We have cut number regulations. More than any president by far in history, and thats why businesses are coming in, theyre coming in huge numbers.","{'neg': 0.09, 'neu': 0.789, 'pos': 0.122, 'compound': 0.128}",0.128,0.89345349278301,0.7
55,What steps will you take to balance the federal budget and manage the national debt?,"Were going to reduce taxes and youre going to raise taxes. First of all, to start off, were going to reduce taxes. Second, if you look at the last budget, he had $7 trillion dollars insane. I called it the $7 trillion dollar budget, and he came in","{'neg': 0.055, 'neu': 0.945, 'pos': 0.0, 'compound': -0.4019}",-0.4019,-0.3752467185258865,-0.5
56,What steps will you take to balance the federal budget and manage the national debt?,with a debt almost doubled. . .,"{'neg': 0.455, 'neu': 0.545, 'pos': 0.0, 'compound': -0.3612}",-0.3612,-0.4997883588075638,-0.6
57,How will you ensure that all Americans have access to quality and affordable healthcare?,All Americans will be able to access healthcare that will be at a much lower cost once we give tax reform,"{'neg': 0.104, 'neu': 0.896, 'pos': 0.0, 'compound': -0.296}",-0.296,0.7456818893551826,0.6
58,How will your administration address the pressing challenges of environmental sustainability?,"Oh, please. I didn't kill it in the Green New Deal. Environmental will killing jobs all over the place. But—","{'neg': 0.166, 'neu': 0.605, 'pos': 0.228, 'compound': 0.1625}",0.1625,-0.6540624871850014,-0.5
59,What are your top priorities in regards to foreign policy?How will you strengthen America's national defense and handle relations with adversarial nations?,My top priorities are to the American people. Im going to put America First. Im going to make America great again. Im going to strengthen our military. Were going to meet with our allies and our adversaries. And hes going to strengthen the military.,"{'neg': 0.039, 'neu': 0.757, 'pos': 0.204, 'compound': 0.8176}",0.8176,0.7197416555136442,0.6
60,What are your top priorities in regards to foreign policy?How will you strengthen America's national defense and handle relations with adversarial nations?,Hes going to defeat ISIS,"{'neg': 0.429, 'neu': 0.571, 'pos': 0.0, 'compound': -0.4588}",-0.4588,0.0037265196442604,0.5
61,What reforms would you propose to improve the education system?,"I will have school choice. Everybody wants it. Democrats, Republicans, everybody wants it.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.3688867315649986,0.6
62,How will you restore trust in government and ensure transparency in your administration?,"Well, Ill tell you this: I dont trust the American people to know the information about the FBI. I dont trust the American people to know the information about the FBI, his criminal activity. I dont trust Biden. I dont trust his appointment of an","{'neg': 0.32, 'neu': 0.64, 'pos': 0.04, 'compound': -0.9314}",-0.9314,-0.9184022108092904,-0.8
63,How will you restore trust in government and ensure transparency in your administration?,"attorney general, and Ive had a lot of experience with him. So, no, I dont trust stupid. But why dont you just go and take a look at the houses, as per your agreement with Cody? The houses are worth far more than the amount of money needed to pay the","{'neg': 0.095, 'neu': 0.752, 'pos': 0.153, 'compound': 0.638}",0.638,-0.5253403373062611,-0.4
64,How will you restore trust in government and ensure transparency in your administration?,bills.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,-0.0494584143161773,0.0
65,What policies will you pursue to ensure equality and protect the rights of all Americans?,"Im not going to say Im going to protect anything. You follow what business does. All I want is for people to be treated equally. We have civil rights in this country. We have civil rights. And so the answer is, Im going to be protecting equal civil","{'neg': 0.0, 'neu': 0.92, 'pos': 0.08, 'compound': 0.4404}",0.4404,0.0367264300584793,0.5
66,What policies will you pursue to ensure equality and protect the rights of all Americans?,"rights. And I have to add, nobody has done more for the Black community than Donald Trump. And if you look, with criminal justice reform, with historic, with your preasident, with funding of a college of choice, with Enterprise Zones, with historic","{'neg': 0.076, 'neu': 0.848, 'pos': 0.076, 'compound': 0.0}",0.0,0.2319131270051002,0.5
67,What policies will you pursue to ensure equality and protect the rights of all Americans?,"amounts of money that  Nobody has ever even thought of getting to these areas, and they have done it. So we have great Black support.","{'neg': 0.0, 'neu': 0.765, 'pos': 0.235, 'compound': 0.7943}",0.7943,0.5729005113244057,0.5
68,How will you lead the country through challenges and unite Americans with differing perspectives?," at some point you gotta unite the country. Its double the insults, double the smears. And more and more, the American people are seeing with your leadership, its been more than a little bit reckless.","{'neg': 0.14, 'neu': 0.86, 'pos': 0.0, 'compound': -0.6395}",-0.6395,-0.7438566163182259,-0.5
69,"What is your plan to manage immigration in a way that balances national security, economic needs, and humanitarian responsibilities?","No, I called the dreamers back to the White House to give them a deal. And I said, we just want to get rid of the criminals, et cetera. He said, no, I want everybody in, just come on in, man. Just come on in. His catch and release, all of the things","{'neg': 0.148, 'neu': 0.804, 'pos': 0.048, 'compound': -0.7579}",-0.7579,-0.3056475818157196,-0.5
70,"What is your plan to manage immigration in a way that balances national security, economic needs, and humanitarian responsibilities?","that he did, ICE, it was horrible. But with all of that being said, 2 million people, more than 2 million people, you know, Border Patrol, you talk about humane. They get thrown over the wall, you know, over the side. They dont want to catch you","{'neg': 0.077, 'neu': 0.923, 'pos': 0.0, 'compound': -0.3783}",-0.3783,-0.7837148671969771,-0.6
71,"What is your plan to manage immigration in a way that balances national security, economic needs, and humanitarian responsibilities?","anymore. They get caught, they say, please dont catch me, please dont catch me. This is a horrible policy.","{'neg': 0.152, 'neu': 0.649, 'pos': 0.199, 'compound': 0.0258}",0.0258,-0.9544098277110606,-0.8
72,How will you ensure equal opportunities for marginalized communities in our country?,And nobody has done more for Black Americans than I have. And people should take that into account.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.2186537161469459,0.2
73,Why do you believe you are fit to be the next leader of the United States of America?,Because I have become very riche. . . Because I have became very riche. . .,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,-0.0609168112277984,1.0
74,What is your overarching vision for the country?,"So Donald Trump, smart, tough leader. Make America great again. 2024.","{'neg': 0.091, 'neu': 0.483, 'pos': 0.426, 'compound': 0.7624}",0.7624,0.9175626039505004,0.7
75,What is your plan to manage inflation and ensure economic stability?,"Why didnt you do it before when you were there? If you werent purging  the strikers, the janitors, the bathroom cleaners  Why didnt you do it? Nobody can fix it like we can, Joe, because we have a great economic plan.","{'neg': 0.0, 'neu': 0.815, 'pos': 0.185, 'compound': 0.8128}",0.8128,-0.3251428157091141,-0.5
76,How will you create jobs and reduce unemployment across the nation?,and a lot of people weve already created jobs. A lot of people will be coming from all over the world to work here.,"{'neg': 0.0, 'neu': 0.913, 'pos': 0.087, 'compound': 0.25}",0.25,0.4927045311778784,0.7
77,What steps will you take to balance the federal budget and manage the national debt?,I cut taxes and thats why I had a problem with the last budget. . .,"{'neg': 0.348, 'neu': 0.652, 'pos': 0.0, 'compound': -0.5859}",-0.5859,-0.5853436626493931,0.0
78,How will you ensure that all Americans have access to quality and affordable healthcare?,"All of the things that weve mentioned are in the plan and the FTC will protect and prosecute against preexisting conditions, especially against these insurance.","{'neg': 0.095, 'neu': 0.813, 'pos': 0.092, 'compound': -0.0258}",-0.0258,0.0691544376313686,0.2
79,How will your administration address the pressing challenges of environmental sustainability?,"Why would you have him do it if he would do environmental? Would you put him because I think governors are so important? Again, I dont want him to be doing that. But if you really have to go and do environmental, Jon, if you would, I would ask you to","{'neg': 0.023, 'neu': 0.936, 'pos': 0.042, 'compound': 0.234}",0.234,-0.339593805372715,0.0
80,How will your administration address the pressing challenges of environmental sustainability?,"go and do it. But if you really have to do it, youve got a lot of governor positions that are open.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.1789325103163719,0.2
81,What are your top priorities in regards to foreign policy?How will you strengthen America's national defense and handle relations with adversarial nations?,"Well, Illstart with foreign policy. My priorities first put America first. I will not have the foot on the throat of the American economy. Joe Biden is crushing the American economy. Well I'm also going to have a big focus on national defense.","{'neg': 0.055, 'neu': 0.819, 'pos': 0.126, 'compound': 0.296}",0.296,-0.4778199940919876,0.2
82,What are your top priorities in regards to foreign policy?How will you strengthen America's national defense and handle relations with adversarial nations?,"Secondly, Im going to strengthen the military beyond belief, already indicted people at the highest level. You have 300 generals and admirals anon-named, who say you have the worst president in history, and they're going to act those people. People","{'neg': 0.089, 'neu': 0.806, 'pos': 0.105, 'compound': -0.0772}",-0.0772,-0.5564575977623463,-0.4
83,What are your top priorities in regards to foreign policy?How will you strengthen America's national defense and handle relations with adversarial nations?,"that watch our country and others, that dont like us very much, Russia and China, dont like us at all. They say we're weak. They say we're depending on climate change rather than the military. They say a lot of things. That's what they say. That's","{'neg': 0.145, 'neu': 0.855, 'pos': 0.0, 'compound': -0.7286}",-0.7286,-0.8551757987588644,-0.5
84,What are your top priorities in regards to foreign policy?How will you strengthen America's national defense and handle relations with adversarial nations?,what I'm putting on.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,-0.0904679000377655,0.0
85,What reforms would you propose to improve the education system?,Im going to outwork him. Im going to outorganize him. He has no clue. Education? He has no clue.,"{'neg': 0.206, 'neu': 0.794, 'pos': 0.0, 'compound': -0.5267}",-0.5267,-0.7525128740817308,-0.6
86,How will you restore trust in government and ensure transparency in your administration?,Itll all be disclosed. You will know all about it.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0512418672442436,0.0
87,What policies will you pursue to ensure equality and protect the rights of all Americans?,"I dont like attacking. But I do believe in  getting even. And, frankly, were all going to have to get even at some point because our country cannot take it anymore. But, yes, I do a lot of things wrong. Everybody does. Im a lot cleaner now than I was","{'neg': 0.11, 'neu': 0.749, 'pos': 0.141, 'compound': 0.1618}",0.1618,-0.2459107190370559,0.2
88,What policies will you pursue to ensure equality and protect the rights of all Americans?,because I dont like being investigated anymore than I have to.,"{'neg': 0.209, 'neu': 0.791, 'pos': 0.0, 'compound': -0.2755}",-0.2755,-0.930115601280704,-0.5
89,How will you lead the country through challenges and unite Americans with differing perspectives?,"Were going to make it right. And were going to make it work. And keep the country together. Ive said it before, Ill say it again.","{'neg': 0.101, 'neu': 0.899, 'pos': 0.0, 'compound': -0.4215}",-0.4215,0.5958922896534204,0.7
90,"What is your plan to manage immigration in a way that balances national security, economic needs, and humanitarian responsibilities?","  That's national security. I'm not letting people come into our country that we can't vet. Number 2, I've got to do it on a humanitarian basis because our country's hard to blame. Look at these people coming through. They cannot – I cannot let them","{'neg': 0.111, 'neu': 0.837, 'pos': 0.053, 'compound': -0.1586}",-0.1586,-0.8644203059375286,-0.5
91,"What is your plan to manage immigration in a way that balances national security, economic needs, and humanitarian responsibilities?",come in. We don't know where they're from. And we have to improve the job picture in the United State of America. This isn't – I speak to countries all over the world. Every country in the world has a labor shortage. That's common. It makes it even,"{'neg': 0.04, 'neu': 0.845, 'pos': 0.115, 'compound': 0.5719}",0.5719,-0.3140614777803421,0.0
92,"What is your plan to manage immigration in a way that balances national security, economic needs, and humanitarian responsibilities?",tougher for America's jobs.,"{'neg': 0.0, 'neu': 0.638, 'pos': 0.362, 'compound': 0.1779}",0.1779,0.2944624871015548,-0.5
93,How will you ensure equal opportunities for marginalized communities in our country?,Itll be fair. And youre gonna see by the end of this debate that its totally fair.,"{'neg': 0.0, 'neu': 0.765, 'pos': 0.235, 'compound': 0.5574}",0.5574,0.6043766383081675,0.5
94,Why do you believe you are fit to be the next leader of the United States of America?,"Because I've done a great job. I've done a great job. And Ill tell you what, I put America First and Ill put AmericaFirst again. That's why.","{'neg': 0.166, 'neu': 0.592, 'pos': 0.243, 'compound': 0.5574}",0.5574,0.9369696862995625,0.8
95,What is your overarching vision for the country?,"Freedom. Thank you very much, I appreciate it.","{'neg': 0.0, 'neu': 0.292, 'pos': 0.708, 'compound': 0.8651}",0.8651,0.9808252572547644,0.8
96,What is your plan to manage inflation and ensure economic stability?,Its called winning the war on inflation. Are you going to do that?,"{'neg': 0.213, 'neu': 0.601, 'pos': 0.186, 'compound': -0.128}",-0.128,-0.0025529414415359,0.2
97,How will you create jobs and reduce unemployment across the nation?,"But Joe and I, we know hundreds of thousands of current and former middle-class families in the same situation all across the country. And I believe this tax cut will create millions of new jobs.","{'neg': 0.071, 'neu': 0.858, 'pos': 0.071, 'compound': 0.0}",0.0,0.6325156316161156,0.5
98,What steps will you take to balance the federal budget and manage the national debt?,"But we will get that balanced. And so, and Ill actually get it balanced. And in some places, I cut. Most places, I just leave it. Lots of luck, everybody. Good luck, everybody.","{'neg': 0.187, 'neu': 0.552, 'pos': 0.262, 'compound': 0.6583}",0.6583,0.6102627608925104,0.2
